Komentar_Bersih,Sentiment
satpolpp hilang jaringan,Neutral
tunggu,Negative
coba cek om,Neutral
ok sudah terima kasih om,Neutral
samasama,Positive
assalamulaikum om jaringan polpp begini lagi,Neutral
cek lagi,Neutral
assalamualaikum,Positive
hilang jaringan terus,Negative
coba cek,Neutral
oke,Positive
disperindagkopukm tidak bisa connect,Neutral
dinas lingkungan hidup juga,Neutral
disnakertrans nomor jaringan,Neutral
selamat pagi minta tolong jaringan capil timbul tenggelam,Neutral
up juga dishub nomor internet,Neutral
full pulang pergi nomor internet,Neutral
selamat pagi izin menginformasikan jaringan perpustakaan lambat,Neutral
assalamualaikum jaringan di dinas pertanian lambat,Neutral
assalamualaikum,Positive
assalamualaikum,Positive
kabupaten tidak ada jaringan internet,Neutral
sabar om sementara pengecekan,Neutral
oke mantap,Positive
cek,Positive
cek,Positive
perpustakaan sudah kak terima kasih,Positive
cek,Positive
sudah okee terima kasih,Neutral
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek om,Neutral
cek,Positive
oke sudah terima kasih fik,Neutral
terima kasih,Positive
sudah,Positive
oke mkasi om,Neutral
siap sama,Positive
asslamuallaikum dinas pertanian jaringan lambat,Neutral
dinas pemuda dan olahraga lambat jaringan,Neutral
silahkan cek,Neutral
ini lambat sisi mana pak,Negative
aman,Negative
assalamualaikum,Positive
cek lagi,Neutral
selamt pagi minta tolong jaringan capil lambat,Neutral
assalamualaikum,Positive
akses kemana yang lambat ibu,Negative
ok sok boleh,Negative
dishub nomor internet,Neutral
tunggu,Negative
ok,Negative
coba cek om,Neutral
oke sudah aman,Positive
assalamualaikum warahmatullahi wabarakatuh,Positive
assalamualaikum,Positive
assalamulaikum om jaringan satpolpp tidak ada koneksi,Neutral
perikanan juga itu apa kok koneksi,Negative
cek,Positive
cek,Positive
cek,Positive
cek,Positive
ok sudah terima kasih,Neutral
siap,Positive
oke sudah terima kasih,Neutral
ok aman terima kasih,Positive
selamat pagi meminta tolong jaringan capil,Neutral
masih,Negative
masih sama,Negative
tunggu,Negative
assalamualaikum dinas sosial hilang koneksi,Neutral
meminta tolong capil tidak koneksi internet,Neutral
cek,Positive
cek,Positive
kalau sekarang bagaimana ibu,Negative
sudah,Positive
jaringan di kabupaten nomor internet,Neutral
capil juga nomor konekasi internet,Neutral
assalamulaikum om jaringan polpp tidak ada koneksi,Neutral
ons cek,Neutral
belum,Negative
assalamualaikum warahmatullahi jaringan di bagian administrasi pembangunan,Neutral
dari malam senin,Negative
asslamulaikum minta tolong jaringan depan ruang wakil bupati tidak ada koneksi dari kemarin,Neutral
cek lagi pak,Neutral
selamat pagi capil tidak ada koneksi internet,Neutral
aman terima kasih,Positive
assalamualaikum dinas sosial hilang koneksi,Neutral
masih,Negative
ok masih sok boleh,Negative
selamat pagi meminta tolong jaringan di capil lambat sekali,Neutral
bkpsdm lambat,Negative
disnakertrans pun demikian,Neutral
aman fik,Negative
router bkpsdm yang mabuk,Negative
oke,Positive
assalamulaikum jaringan full pulang pergi lambat,Negative
assalamualaikum,Positive
selamat pagi izin menginformasikan perpustakaan nomor internet,Neutral
oke,Positive
sudan ons kembali terima kasih,Neutral
aman,Negative
nakertrans hilang kah,Negative
perpustakan nomor internet,Negative
ons cek,Neutral
mohon segera ditindaklanjuti kembali perbaikan wifi di bpkad setelah diperbaiki tadi jaringan hanya bertahan menit sebelum kembali hilang hingga saat ini kondisi ini sangat menghambat pekerjaan kami,Negative
permisi pak sudah di konfirmasi ke pak cupik tadi besok baru ingin di ganti alat nya bukan jaringan yang bermasalah,Neutral
selamat sore meminta tolong jaringan capil absen saja tidak bisa dari kemarin,Neutral
jaringan aman ya ibu,Positive
jaringan ke capil juga terpantau jalan,Neutral
masih seperti biasa,Neutral
hanya masker yang tidak bisa,Negative
selamat pagi izin informasikan perpustakaan tidak ada koneksi internet,Neutral
asslamualikum,Positive
jaringan nakertrans lambat sekali,Negative
sama rs trikora juga,Positive
disnakertrans lambat sekali,Negative
kabupaten jaringan lambat,Negative
permisi jaringan capil juga lambat,Negative
assalamualaikum jaringan dinas sosial lambat sekali,Negative
permisi mohon wifi di bagian pbj di periksa alx website lpse banggai kepulauan tidak bisa di buka menggunakan wifi pemerintah daerah kalau data seluler dan indihome boleh sangat menghambat ketika lpse banggai kepulauan tidak bisa di buka di wifi pemerintah daerah,Neutral
semua ini jaringan sulit di bagian organisasi juga mengalami hal yang sama,Negative
menunggu pak masih dalam pengecekan dari tim sebelah,Neutral
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek,Positive
meminta tolong jaringan internet di inspektorat tidak terkoneksi dengan baik,Neutral
oke,Positive
assalamualaikum,Positive
masih,Negative
ok sok agak lumayan ini,Neutral
assalamulaikum om minta tolong jaringan satpolpp hilang koneksi,Neutral
sama bagian organisasi juga,Neutral
bagian tata pemerintah juga,Neutral
selamat pagi jaringan capil juga hilang koneksi,Neutral
jaringan pariwisata tidak ada jaringan,Neutral
perpustakaan juga nomor internet,Neutral
bappeda nomor internet akses,Neutral
jaringan di kabupaten tidak ada,Neutral
perikanan juga akio,Neutral
assalamualaikum permisi pak dinas pertanian hilang koneksi,Neutral
mohon maaf atas ketidak nyamanan nya bapakibu,Negative
link utama kembali terpantau normal,Neutral
aman,Negative
cek lagi,Neutral
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek,Positive
perpustakaan sudah aman kak terima kasih,Positive
cek and ricek,Neutral
alhamdulillah sudah terkoneksi internet kembali di inspektorat terima kasih,Neutral
aman,Negative
kabupaten belum,Negative
ons cek ibu,Neutral
aman,Negative
bappeda sok aman terima kasih,Positive
disnakertrans hilang jaringan,Neutral
masih,Negative
mohon bisa di bantu alx sudah hari tidak bisa akses web nih alx kami ada pelatihan yang harus di ikuti,Neutral
coba kak fadly pakai internet data mungkin bisa masuk karena saya juga ada beberapa aplikasi yang tidak bisa mnggunakan internet pemerintah daerah,Neutral
kalau data seluler dengan indihome jadi cuma masalah kalau trng tidak masuk kantor sabntar di cari bagitu masuk kantor tidak bisa biasanya akses jadi dilema alx sok jarang pakai data seluler,Negative
oke terima kasih sudah bisa,Neutral
jaringan di dispora lambat mohon ditindaklanjuti,Neutral
nomor internet ya pak,Neutral
terhubung cuma lambat jaringannya,Negative
cek,Positive
selamat pagi,Neutral
sama bappeda juga te bisa akses sipd,Neutral
ons cek,Neutral
ok sip sok ada terima kasih,Neutral
as wal permisi mohon jaringan internet bagian organisasi dimaksimalkan karena kami lagi pengisian data mcp kosupgah kpk terima kasih,Neutral
saat ini trafic padat pak,Negative
assalamualaikum jaringan wifi bappeda juga hilang sementara ada saling buka sipd,Neutral
coba cek,Neutral
sok bagus tadi tetapi ini ada hilang lagi uang muka wifi,Negative
ssid pemdabangkep yang hilang,Neutral
iya tetapi sok ada lagi ini,Negative
nanti informasi kalau muncul kembali lagi,Neutral
assalamualaikum warahmatullahi wabarakatuh tolong admin masukkan dalam group operator dinas sosial,Neutral
disnakertrans hilang jaringan,Neutral
cek,Positive
selamat sore meminta tolong capil tidak ada koneksi internet,Neutral
ons cek,Neutral
lambat nakertrans,Negative
cek,Positive
selamat sore,Neutral
cek,Positive
belum bisa,Negative
tunggu,Negative
assalamualaikum,Positive
assalamualaikum jaringan di kabupaten tidak ada,Neutral
cek,Positive
sudah,Positive
ok,Negative
disnakertrans lambat sekali,Negative
cek,Positive
jaringan full pulang pergi lambat,Negative
jaringan full pulang pergi lambat,Negative
check,Negative
admin,Negative
bagian lambat nya mana pak,Negative
bisa di screenshot beserta link yang di akses,Neutral
oke atau mungkin pengguna yang sudah terlalu banyak,Negative
assalamualaikum warahmatullahi wabarakatuh,Positive
assalamualaikum,Positive
assalamulaikum om jaringan satpolpp tidak ada koneksi,Neutral
perikanan juga itu apa kok koneksi,Negative
cek,Positive
cek,Positive
cek,Positive
cek,Positive
ok sudah terima kasih,Neutral
siap,Positive
oke sudah terima kasih,Neutral
ok aman terima kasih,Positive
selamat pagi meminta tolong jaringan capil,Neutral
masih,Negative
masih sama,Negative
tunggu,Negative
assalamualaikum dinas sosial hilang koneksi,Neutral
meminta tolong capil tidak koneksi internet,Neutral
cek,Positive
cek,Positive
kalau sekarang bagaimana ibu,Negative
sudah,Positive
jaringan di kabupaten nomor internet,Neutral
capil juga nomor konekasi internet,Neutral
assalamulaikum om jaringan polpp tidak ada koneksi,Neutral
ons cek,Neutral
belum,Negative
assalamualaikum warahmatullahi jaringan di bagian administrasi pembangunan,Neutral
dari malam senin,Negative
asslamulaikum minta tolong jaringan depan ruang wakil bupati tidak ada koneksi dari kemarin,Neutral
cek lagi pak,Neutral
assalamualaikum warahmatullahi wabarakatuh,Positive
disnakertrans nomor jaringan,Neutral
selamat pagi izin menginformasikan perpustakaan nomor internet,Neutral
assalamualaikum dinas pertanian jaringan hilang,Neutral
assalamualaikum,Positive
selamat pagi capil tidak ada koneksi internet,Neutral
masih,Negative
aman terima kasih,Positive
selamat siang perpustakaan nomor internet,Neutral
ons cek,Neutral
iya kak karena dari kemarin begitu terus,Negative
aman,Negative
terimkasih,Positive
assalamualaikum dinas sosial hilang koneksi,Neutral
masih,Negative
ok masih sok boleh,Negative
selamat pagi meminta tolong jaringan di capil lambat sekali,Neutral
bkpsdm lambat,Negative
disnakertrans pun demikian,Neutral
aman fik,Negative
router bkpsdm yang mabuk,Negative
oke,Positive
assalamulaikum jaringan full pulang pergi lambat,Negative
assalamualaikum,Positive
selamat pagi izin menginformasikan perpustakaan nomor internet,Neutral
oke,Positive
sudan ons kembali terima kasih,Neutral
aman,Negative
nakertrans hilang kah,Negative
perpustakan nomor internet,Negative
ons cek,Neutral
mohon segera ditindaklanjuti kembali perbaikan wifi di bpkad setelah diperbaiki tadi jaringan hanya bertahan menit sebelum kembali hilang hingga saat ini kondisi ini sangat menghambat pekerjaan kami,Negative
permisi pak sudah di konfirmasi ke pak cupik tadi besok baru ingin di ganti alat nya bukan jaringan yang bermasalah,Neutral
pak kami ingin menyampaikan bahwa jaringan di bpkad sudah hampir satu bulan ini sering mengalami gangguan dan offline terkait anggaran untuk wifi serta perangkat pendukungnya kami memahami bahwa hal tersebut telah dialihkan ke kominfo oleh karena itu kami berharap adanya dukungan dalam pelayanan jaringan yang optimal demi kelancaran kinerja kami,Neutral
alat di bidang perbend yang bermasalah wrles menuju perangkat penerima tidak kuat sudah di lakuan riset matikan salah satu enggak tetapi tidak ada perubahan,Neutral
masalah di apa pak sudah saya meminta carikan alternatif apa dulu dan besok saya kirimkan apa dari palu pak,Neutral
hasil konfirmasi kami dengan pt dewata net,Neutral
pemeliharaan instalasi jaringan dalam pemerintah di kantor bpkad,Neutral
terima kasih,Positive
dinas pemuda dan olahraga tidak ada koneksi internet,Neutral
selamat sore meminta tolong jaringan capil absen saja tidak bisa dari kemarin,Neutral
jaringan aman ya ibu,Positive
jaringan ke capil juga terpantau jalan,Neutral
masih seperti biasa,Neutral
hanya masker yang tidak bisa,Negative
selamat pagi izin informasikan perpustakaan tidak ada koneksi internet,Neutral
asslamualikum,Positive
jaringan nakertrans lambat sekali,Negative
sama rs trikora juga,Positive
disnakertrans lambat sekali,Negative
kabupaten jaringan lambat,Negative
permisi jaringan capil juga lambat,Negative
assalamualaikum jaringan dinas sosial lambat sekali,Negative
permisi mohon wifi di bagian pbj di periksa alx website lpse banggai kepulauan tidak bisa di buka menggunakan wifi pemerintah daerah kalau data seluler dan indihome boleh sangat menghambat ketika lpse banggai kepulauan tidak bisa di buka di wifi pemerintah daerah,Neutral
semua ini jaringan sulit di bagian organisasi juga mengalami hal yang sama,Negative
menunggu pak masih dalam pengecekan dari tim sebelah,Neutral
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek,Positive
meminta tolong jaringan internet di inspektorat tidak terkoneksi dengan baik,Neutral
oke,Positive
assalamualaikum,Positive
masih,Negative
ok sok agak lumayan ini,Neutral
assalamulaikum om minta tolong jaringan satpolpp hilang koneksi,Neutral
sama bagian organisasi juga,Neutral
bagian tata pemerintah juga,Neutral
selamat pagi jaringan capil juga hilang koneksi,Neutral
jaringan pariwisata tidak ada jaringan,Neutral
perpustakaan juga nomor internet,Neutral
bappeda nomor internet akses,Neutral
jaringan di kabupaten tidak ada,Neutral
perikanan juga akio,Neutral
assalamualaikum permisi pak dinas pertanian hilang koneksi,Neutral
mohon maaf atas ketidak nyamanan nya bapakibu,Negative
link utama kembali terpantau normal,Neutral
aman,Negative
cek lagi,Neutral
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek,Positive
perpustakaan sudah aman kak terima kasih,Positive
cek and ricek,Neutral
alhamdulillah sudah terkoneksi internet kembali di inspektorat terima kasih,Neutral
aman,Negative
kabupaten belum,Negative
ons cek ibu,Neutral
aman,Negative
bappeda sok aman terima kasih,Positive
disnakertrans hilang jaringan,Neutral
masih,Negative
mohon bisa di bantu alx sudah hari tidak bisa akses web nih alx kami ada pelatihan yang harus di ikuti,Neutral
coba kak fadly pakai internet data mungkin bisa masuk karena saya juga ada beberapa aplikasi yang tidak bisa mnggunakan internet pemerintah daerah,Neutral
kalau data seluler dengan indihome jadi cuma masalah kalau trng tidak masuk kantor sabntar di cari bagitu masuk kantor tidak bisa biasanya akses jadi dilema alx sok jarang pakai data seluler,Negative
oke terima kasih sudah bisa,Neutral
jaringan di dispora lambat mohon ditindaklanjuti,Neutral
nomor internet ya pak,Neutral
terhubung cuma lambat jaringannya,Negative
cek,Positive
selamat pagi,Neutral
sama bappeda juga te bisa akses sipd,Neutral
ons cek,Neutral
ok sip sok ada terima kasih,Neutral
jaringan internet agak lambat,Negative
jaringan sangat lambat apalagi kalau mati lampu sumpah lambat sekali,Negative
untung nama tinggal di sebelah bangunan tower tetapi lambat,Positive
tidak ada jaringan xl,Neutral
tiba tiba hilang jaringan telkomselbyu,Neutral
masih terbilang baikcmn kalau bisa jangan cuman jaringan telkomsel yang tersediaadakan juga provider lainnya,Positive
tolong di perbaiki kualitas jaringan internet di bangkep koutanya mahal kualitas internetnya sangat buruk,Negative
jaringan enggak yang sangat lambat seringkali menghambat pekerjaan yang harus menggunakan paket datainternet terutama pada kompleks perkantoran di atas pengguna internet harus turun mencari tempat yang tertentu untuk bisa mengakses internet,Neutral
sering lambat semoga kedepan lebih bagus apalagi kami di daerah rsud sulit sekali jaringan jika ingin berkoordinasi dengan orang lain,Negative
untuk operator telkomsel jika menggunakan jaringan data biasanya lebih lambat terutama daerah rsud trikora salakan walau terdapat tower pada lokasi untuk jaringan telkomsel juga kadang waktu menunjukkan jam lebih cepat dari waktu sebenarnya,Neutral
jaringan lambat hilang timbul,Negative
desa kami sudah memiliki tower jaringan internet tetapi sampai saat ini kami masih merasakan kekurangan jaringan internet yang di sebabkan pelayanannya hanya bisa di malam hari kalau pagi sampai sore mati total hanya bisa mengakses dari salakan tetapi itu kami ke pesisir pantai untuk cari jaringan,Negative
di wilayah saya terutama di desa bulungkobit sangat susah sinyal bagusnya kadang cuma pada saat malam hari dari jam sore sampai jam pagi setelah itu sudah hilang lagi,Negative
lebih di perhatikan lagi tentang jaringan yang ada di daerah banggai kepulauan terutama yang bertugas untuk menjaga tower agar lebih giat dalam upaya hilangnya jaringam saat lampu padam,Neutral
jaringan internet di daerah saya khususnya di banggai kepulauan sering tidak stabil sinyalnya sangat tidak bagus terutama saat pagi hari dan ketika cuaca buruk hal ini cukup mengganggu terutama untuk keperluan belajar atau bekerja secara online,Negative
kualitas jaringan di desa akan kecamatan tinangkung sangatlah burukk padahal terdapat tower induk di daerah tersebut namun jaringanya sangatlah burukk lambatt lambat,Negative
kualitas jaringan di kampung membuat saya emosi karena saya tidak bisa berkomunikasi dengan teman kuliah saya saat ada informasi penting di karenakan jaringan hilang total,Negative
internet di banggai kepulauan masih sangat buruk kecepatannya lambat sekali sering putus putus dan sinyalnya lemahkami meminta pemerintah dan perusahaan internet segera perbaiki masalah ini banggai kepulauan butuh internet yang cepat dan stabil,Negative
kualitas jaringan kurang cepat,Negative
lemah susah mengakses internet sering hilang jaringan internet,Negative
kecepatan internet seringkali tidak sesuai dengan paket yang dibeli terutama saat banyak pengguna yang mengakses internet secara bersamaan,Negative
ada sinyal tetapi tidak bisa digunakan,Neutral
setiap siang hari di desa bulungkobit tidak ada jaringan internet maupun telepon,Neutral
parah,Negative
jaringan di peling tengah terutama di desa patukuki sering lambat jaringannya,Neutral
untung nama ada tower tetapi tidak bisa digunakan,Negative
keluhan banyak sekali susah berkomunikasi kepada siapapun apalagi kalau kami sebagai naks susah menghubungi keluarga pasien kalau gawat darurat apalagi kalau ada pasien yang di rujuk itu butuh komunikasi yang bagus tetapi di pulo biasanya ini bungin bulungkobit akan itu tidak ada sama sklai jaringan internet jadi mohon di tindak lanjuti bapakibu,Negative
di perbaiki,Neutral
sangat kurang baik,Negative
baik,Positive
beberapa tempat di kota salakan kurang maksimal dalam mengakses internet hingga sama sekali tidak dapat di aksessebagai contoh tempat di area kantor catatan sipil apa bila tidak di bantu menggunakan wifi maka sama sekali tidak dapat menjangkau internet sama sekali,Negative
menurut saya jaringan di sini sangat lambat dan lambat bahkan kadang hilang total,Negative
menurut saya jaringan yang ada di desa patukuki itu kurang baik semenjak di jadikan sebagai jaringan enggak,Negative
jaringan agak lebih baik jika pakai wifi tetapi kalau pakai data seluler sangat lambat tidak bisa menonton youtube atau akses video,Negative
terkadang jaringan internet hilang atau lambat ketika mati lampu,Negative
jaringan internet sangat lambat kadang hilang,Negative
karena keterbatasan akses jaringan memperlambat akses dalam kegiatan dunia digitalisasi,Neutral
pendapat saya mengenai kualitas jaringan internet di kabupaten banggai kepulauan sejauh ini memang sangat kurang memadai kita bisa lihat ada beberapa desa di banggai kepulauan yang masih sulit menggunakan jaringan internet mereka harus pergi kedesa lain agar bisa mengakses jaringan internet,Negative
keluhan saya itu biasanya lambat lambat kalau saya menggunakan internet dan juga saat saya menelpon kadang hilang hilang jaringannya,Negative
saya sering mengalami masalah koneksi internet telkomsel terutama saat jam sibuk,Neutral
jaringan internet khususnya desa tombos masih sangat tidak bagus sering hilang total kalaupun tidak hilang total tapi sangat lambat di bandingkan desa lain apalagi khususnya di musim hujan ini karena di sebabkan jaringan telekomunikasi yang di berikan berupa tower mini yang katanya mengandalkan tenaga surya jadi ketika musim hujan sangat lambat bahkan mati total,Negative
jaringan yang ada dikabbangkep khususnya daerah lolantang masih kurang memadai dan jaringan biasa hilang tiba serta jaringan lambat atau lambat sehingga kita yang kerja di kantor biasa lambat kirim data disebabkan bukan karena pekerjaan kita atau data kita belum lengkap tetapi jaringan yang tidak baik,Negative
jaringan sering hilang total sehingga membuat akses kita ke internet dan tlfon harus tertunda,Neutral
di bulagi sering terjadi signal hilang dan sangat lambat karena sudah terlalu banyak pengguna jaringan sementara tower hanya dan letaknya di kelurahan bulagi sehingga jangkauan jaringan lumayan jauh,Positive
,Neutral
untuk jaringan internet di banggai kepulauan umumnya dan di desa bobu khususnya alhamdulilah sudah baik tetapi biasanya jaringan internet hilang total,Neutral
jaringan di desa bulungkobit sangat sangat burukjaringan di desa ini di pagi hari dari jam hilang totalkami yang ada di desa tersebut sangat kesulitan,Negative
pendapat saya tentang kualitas jaringan yang ada didaerah saya agar dapat ditingkatkan lagi kualitasnya dikarenakan kami sering terkendala dijaringan untuk mengirimkan data ke pusat atau ke ibu kota kabupaten dan sekitarnya,Neutral
jaringan tidak stabil bahkan sering hilang apalagi untuk akses internet sangat susah,Negative
sangat bagus dan jarang terjadi gangguan,Positive
biasanya jaringan lambat dan hilang,Negative
tower yang ada di wilayah hanya sebagai tower mini sehingga tidak bisa melayani masyarakat desa yang ada di wilayah kami karena pengguna jaringan lebih besar dari pada tower mini ini kapasitas internet lambat di saat kami dan ketika kami punxa keperluas yang sistem kirim data tidak bsq di gunakan apa lagi sudah buka leptop,Negative
kualitas jaringan internet sangat tidak baiklemot,Negative
jaringan hilang total saat terjadi pemadaman listrik lebih dari jam,Neutral
tidak ada batas,Positive
jaringan lambat di saat jam kerja yang banyak menggunakan jaringan internet,Neutral
jaringan lambat biasa hilang total akses internet lambat jaringan ada tetapi tidak bisa menelfon biasa bisa menelfon tetapi tidak jelas suara chat lama terkirim biasa juga gagal terkirim efek jaringan ini sangat berdampak pada kehidupan masyarakat yang saat ini sudah sebagian besar mengarah ke digitalisasi,Negative
kualitas jaringan di banggai kepulauan belum merata masih banyak desa desa yang jaringannya belum bagus seperti jaringan yang ada di desa di pulau akan yaitu desa bulungkobit bungin dan akan sudah setahun lebih jaringan sangat susah diakses terutama pada siang hari dan kadangkadang di malam hari juga jaringannya ada gangguan di pulau akan sendiri untuk listriknya belum jam tetapi sebelum tahun jaringan bagusbagus saja dan bisa diakses walau listrik tidak menyala karena di pulau tersebut sudah ada towernya tetapi di tahun jaringan sudah mulai jelek dan bahkan sekarang sudah sangat parah menurut saya karena banyak sekali gangguannya,Negative
susah signal,Negative
sudah lumayan baik hanya sering hilang kalau mati lampu saja dengan masih ada spot yang kurang bagus signal,Negative
kualitas jaringan sangat buruk untuk telepon atau sms juga kadang tidak bisa,Negative
agar lebih meningkatkan kualitas jaringan internet,Neutral
jaringan memuaskan hanya kami pengguna jaringan internet telkomsel yang ada di desa ambelang agar bisa di adakan cadangan mesin genset atau penambahan baterai aktif kali jam biar ada pemadaman tiba tiba dari pln tetapi jaringan telkomsel yang ada di desa kami selalu aktif terus menerus sehingga informasi selalu apdet juga kali jam,Positive
jika lampu padam jaringan telkomsel jadi lambat,Neutral
cukup baik,Positive
jaringan yang lambat karena desa pondingponding mengambil jaringan melalui tower desa tatakalai yang dimana tower tersebut digunakan desa yaitu desa ponding tatakalai luksagu,Neutral
pendapat saya untuk kualitas jaringan di banggai kepulauan ini perlu ditingkatkan lagi jaringan selulernya terkadang kalau menelpon tanpa data seluler biasanya hilang suara atau tidak kedengaran kalau tentang jaringan data seluler sudah lumayan bagus tetapi ada jam jam tertentu biasanya sangat lambat apalagi kalau mati lampu ya sangat lambat sekali,Negative
sudah baik untuk sebagian wilayah tetapi untuk wilayah perkantoran perlu di tambah karena dengan begitu banyaknya aktivitas maka jaringan juga menjadi lambat,Neutral
jaringan agar lebih di tingkatkan kekuatan sinyal,Neutral
sangat tidak bagus,Negative
di desa saya jaringan internet sangat lambat dikarenakan sinyal internet yang belum memenuhi standar pengguna terlalu banyak,Negative
keluhan saya mengenai jaringan internet yang ada di bangkep itu khususnya di desa balayon kecamatan liang buruk sekali apalagi untuk internetan sangat tidak lancar alias lambat bahkan untuk tlfon biasa saja kadang tidak bisa,Negative
jaringan internet sering hilang sinyal lambat,Negative
